row,stimulus,Source_current,Frame_current,Source_clean_label,Frame_clean_label,Source_AI,Frame_Gain,Intention,HealthC,main_model_complete,current_matches_clean,single_stimulus_text
53,"Stimuli C. human gain,Stimuli C. human gain",1.0,1.0,Human expert,Gain frame,0.0,1.0,5.66666666666667,4.83333333333333,True,True,False
54,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,6.0,True,True,True
55,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.5,True,True,True
56,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.0,6.0,True,True,True
57,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.0,True,True,True
58,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.66666666666667,6.33333333333333,True,True,True
59,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.0,True,True,True
60,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.5,True,True,True
61,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.66666666666667,5.5,True,True,True
62,"Stimuli A. AI gain,Stimuli A. AI gain",0.0,1.0,AI coach,Gain frame,1.0,1.0,5.33333333333333,4.83333333333333,True,True,False
63,"Stimuli D. human loss,Stimuli D. human loss",1.0,0.0,Human expert,Loss frame,0.0,0.0,4.66666666666667,4.66666666666667,True,True,False
64,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.0,6.16666666666667,True,True,True
65,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.33333333333333,True,True,True
66,"Stimuli D. human loss,Stimuli D. human loss",1.0,0.0,Human expert,Loss frame,0.0,0.0,6.66666666666667,6.66666666666667,True,True,False
67,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,5.33333333333333,True,True,True
68,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.33333333333333,5.16666666666667,True,True,True
69,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,5.5,True,True,True
70,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.66666666666667,6.5,True,True,True
71,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.0,5.83333333333333,True,True,True
72,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,6.0,True,True,True
73,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.33333333333333,5.83333333333333,True,True,True
74,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,4.66666666666667,5.16666666666667,True,True,True
75,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.66666666666667,6.0,True,True,True
76,Stimuli D. human loss,1.0,1.0,Human expert,Loss frame,0.0,0.0,4.66666666666667,5.83333333333333,True,False,True
77,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,6.0,True,True,True
78,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.33333333333333,6.33333333333333,True,True,True
79,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.66666666666667,6.5,True,True,True
80,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,5.33333333333333,True,True,True
81,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.66666666666667,6.33333333333333,True,True,True
82,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.66666666666667,6.0,True,True,True
83,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.66666666666667,6.33333333333333,True,True,True
84,"Stimuli C. human gain,Stimuli C. human gain",1.0,1.0,Human expert,Gain frame,0.0,1.0,6.33333333333333,6.16666666666667,True,True,False
85,"Stimuli C. human gain,Stimuli C. human gain",1.0,1.0,Human expert,Gain frame,0.0,1.0,6.33333333333333,6.0,True,True,False
